,Bike,Size,Year,Running,Price,Miles,Target,Kawasaki,Royal Himalayan,Suzuki,Yamaha
0,1,450.0,2022.0,1,9000,,5,0,0,1,0
1,2,,,0,600,,6,0,0,1,0
2,3,,,1,2500,17500.0,6,0,0,1,0
3,4,450.0,2015.0,1,5500,30000.0,9,0,0,1,0
4,5,400.0,2007.0,1,4200,5700.0,5,0,0,1,0
5,6,600.0,,1,3000,,6,0,0,0,0
6,7,650.0,2005.0,1,3800,,8,0,0,0,0
7,8,,1985.0,0,1100,,7,0,0,0,0
8,9,250.0,2018.0,1,6000,1824.0,7,0,0,0,0
9,10,250.0,1999.0,1,3300,,7,0,0,0,0
10,11,650.0,2002.0,1,2300,10690.0,4,1,0,0,0
11,12,650.0,2009.0,1,2900,9100.0,4,1,0,0,0
12,13,650.0,2009.0,1,4000,9088.0,6,1,0,0,0
13,14,650.0,1993.0,1,1800,17000.0,4,1,0,0,0
14,15,650.0,,1,7300,4250.0,6,1,0,0,0
15,16,650.0,,1,2700,27000.0,7,1,0,0,0
16,17,250.0,,1,1200,,5,1,0,0,0
17,18,230.0,,1,6000,,8,1,0,0,0
18,19,300.0,,1,3500,6607.0,6,1,0,0,0
19,20,300.0,,1,3300,,7,1,0,0,0
20,21,1000.0,,1,6000,,5,1,0,0,0
21,22,1000.0,2006.0,1,5000,27500.0,7,1,0,0,0
22,23,300.0,,1,3200,,6,1,0,0,0
23,24,1600.0,2004.0,1,2500,50000.0,7,1,0,0,0
24,25,1600.0,2007.0,1,4800,30735.0,6,1,0,0,0
25,26,900.0,2007.0,1,4300,25000.0,6,1,0,0,0
26,27,1500.0,2004.0,1,2600,22000.0,3,1,0,0,0
27,28,500.0,2007.0,1,3000,26000.0,5,1,0,0,0
28,29,1600.0,2005.0,1,4900,30000.0,7,1,0,0,0
29,30,,,1,3500,20000.0,6,0,0,0,0
30,31,750.0,2007.0,1,4500,16000.0,7,0,0,0,0
31,32,750.0,2009.0,1,5000,9412.0,5,0,0,0,0
32,33,750.0,2018.0,1,5500,10000.0,5,0,0,0,0
33,34,1100.0,1996.0,1,3000,46782.0,6,0,0,0,0
34,35,600.0,,1,11500,,7,0,0,0,1
35,36,600.0,,1,5800,,6,0,0,0,1
36,37,600.0,,1,12000,,7,0,0,0,1
37,38,600.0,2017.0,1,2400,4600.0,3,0,0,1,0
38,39,650.0,2018.0,1,4300,108.0,4,0,1,0,0
39,40,400.0,2005.0,1,2800,,5,0,0,1,0
40,41,400.0,2002.0,1,3200,,5,0,0,1,0
41,42,750.0,,1,3500,11690.0,5,0,0,0,0
42,43,,,1,3200,16000.0,6,0,0,0,0
43,44,600.0,,1,2900,,6,0,0,0,0
44,45,750.0,2001.0,1,2100,22000.0,6,0,0,0,0
45,46,750.0,2007.0,1,4500,16000.0,7,0,0,0,0
46,47,1100.0,,1,4000,26441.0,6,0,0,0,0
47,48,750.0,2007.0,1,5000,,6,0,0,0,0
48,49,750.0,2013.0,1,4500,7000.0,5,0,0,0,0
