,Size,Year,Running,Price,Miles,Target,Kawasaki,Royal Himalayan,Suzuki,Yamaha
0,450.0,2022.0,1,9000,,5,0,0,1,0
1,,,0,600,,6,0,0,1,0
2,,,1,2500,17500.0,6,0,0,1,0
3,450.0,2015.0,1,5500,30000.0,9,0,0,1,0
4,400.0,2007.0,1,4200,5700.0,5,0,0,1,0
5,600.0,,1,3000,,6,0,0,0,0
6,650.0,2005.0,1,3800,,8,0,0,0,0
7,,1985.0,0,1100,,7,0,0,0,0
8,250.0,2018.0,1,6000,1824.0,7,0,0,0,0
9,250.0,1999.0,1,3300,,7,0,0,0,0
11,650.0,2009.0,1,2900,9100.0,4,1,0,0,0
12,650.0,2009.0,1,4000,9088.0,6,1,0,0,0
13,650.0,1993.0,1,1800,17000.0,4,1,0,0,0
14,650.0,,1,7300,4250.0,6,1,0,0,0
15,650.0,,1,2700,27000.0,7,1,0,0,0
17,230.0,,1,6000,,8,1,0,0,0
18,300.0,,1,3500,6607.0,6,1,0,0,0
19,300.0,,1,3300,,7,1,0,0,0
21,1000.0,2006.0,1,5000,27500.0,7,1,0,0,0
22,300.0,,1,3200,,6,1,0,0,0
23,1600.0,2004.0,1,2500,50000.0,7,1,0,0,0
24,1600.0,2007.0,1,4800,30735.0,6,1,0,0,0
26,1500.0,2004.0,1,2600,22000.0,3,1,0,0,0
27,500.0,2007.0,1,3000,26000.0,5,1,0,0,0
28,1600.0,2005.0,1,4900,30000.0,7,1,0,0,0
29,,,1,3500,20000.0,6,0,0,0,0
30,750.0,2007.0,1,4500,16000.0,7,0,0,0,0
31,750.0,2009.0,1,5000,9412.0,5,0,0,0,0
32,750.0,2018.0,1,5500,10000.0,5,0,0,0,0
33,1100.0,1996.0,1,3000,46782.0,6,0,0,0,0
34,600.0,,1,11500,,7,0,0,0,1
35,600.0,,1,5800,,6,0,0,0,1
36,600.0,,1,12000,,7,0,0,0,1
37,600.0,2017.0,1,2400,4600.0,3,0,0,1,0
38,650.0,2018.0,1,4300,108.0,4,0,1,0,0
39,400.0,2005.0,1,2800,,5,0,0,1,0
40,400.0,2002.0,1,3200,,5,0,0,1,0
41,750.0,,1,3500,11690.0,5,0,0,0,0
42,,,1,3200,16000.0,6,0,0,0,0
43,600.0,,1,2900,,6,0,0,0,0
44,750.0,2001.0,1,2100,22000.0,6,0,0,0,0
46,1100.0,,1,4000,26441.0,6,0,0,0,0
47,750.0,2007.0,1,5000,,6,0,0,0,0
48,750.0,2013.0,1,4500,7000.0,5,0,0,0,0
